event_date,user_pseudo_id,event_name,traffic_source_name,traffic_medium,traffic_campaign,event_time,is_first_click,is_last_click
20210117,1003717.5976366234,session_start,google,organic,(organic),2021-01-17 10:07:32.602604 UTC,false,false
20210117,1003717.5976366234,first_visit,google,organic,(organic),2021-01-17 10:07:32.602604 UTC,true,false
20210117,1003717.5976366234,page_view,google,organic,(organic),2021-01-17 10:07:32.602604 UTC,false,false
20210117,1003717.5976366234,page_view,google,organic,(organic),2021-01-17 10:07:37.644723 UTC,false,false
20210117,1003717.5976366234,page_view,google,organic,(organic),2021-01-17 10:07:38.131514 UTC,false,false
20210117,1003717.5976366234,user_engagement,google,organic,(organic),2021-01-17 10:07:50.625852 UTC,false,true
20210117,1003717.5976366234,scroll,google,organic,(organic),2021-01-17 10:07:50.625852 UTC,false,true
20210117,1007746.0002291639,session_start,(direct),(none),(direct),2021-01-17 15:17:43.775095 UTC,false,false
20210117,1007746.0002291639,first_visit,(direct),(none),(direct),2021-01-17 15:17:43.775095 UTC,true,false
20210117,1007746.0002291639,page_view,(direct),(none),(direct),2021-01-17 15:17:43.775095 UTC,false,false
20210117,1007746.0002291639,user_engagement,(direct),(none),(direct),2021-01-17 15:17:45.593254 UTC,false,true
20210117,1007746.0002291639,page_view,(direct),(none),(direct),2021-01-17 15:17:45.593254 UTC,false,true
20210117,1007746.0002291639,scroll,(direct),(none),(direct),2021-01-17 15:17:45.593254 UTC,false,true
20210117,1019199.3353128467,first_visit,<Other>,<Other>,<Other>,2021-01-17 08:23:54.615457 UTC,true,false
20210117,1019199.3353128467,session_start,<Other>,<Other>,<Other>,2021-01-17 08:23:54.615457 UTC,false,false
20210117,1019199.3353128467,page_view,<Other>,<Other>,<Other>,2021-01-17 08:23:54.615457 UTC,false,false
20210117,1019199.3353128467,page_view,<Other>,<Other>,<Other>,2021-01-17 08:24:00.012244 UTC,false,true
20210117,1019199.3353128467,user_engagement,<Other>,<Other>,<Other>,2021-01-17 08:24:00.012244 UTC,false,true
20210117,1032465.6915437944,page_view,<Other>,<Other>,<Other>,2021-01-17 11:09:45.033436 UTC,false,false
20210117,1032465.6915437944,session_start,<Other>,<Other>,<Other>,2021-01-17 11:09:45.033436 UTC,false,false
20210117,1032465.6915437944,page_view,<Other>,<Other>,<Other>,2021-01-17 11:09:50.191794 UTC,false,false
20210117,1032465.6915437944,user_engagement,<Other>,<Other>,<Other>,2021-01-17 11:31:59.525248 UTC,false,true
